No,Journal,n,cites,h5,h5med,IF,IF5,IM,JCI,CS,SNIP,SJR
35,CORAL REEFS,121,8128,40,56,3.5,3.8,0.7,1.32,7.4,1.056,1.081
36,CURR BIOL,510,79963,122,157,9.2,11,2.7,1.63,12.1,1.81,2.806
37,CURR OP ENV SUST,48,7971,64,118,7.2,8.5,1.6,0.8,14.1,1.983,2.1
38,DIVERS DISTRIB,174,11496,54,73,4.6,5,1.1,1.29,8.3,1.516,1.731
39,ECOGRAPHY,132,17205,63,91,5.9,7.2,0.8,1.49,11.9,1.821,2.372
40,ECOL APPL,235,22932,56,74,5,5.2,1.1,1.13,8.3,1.522,1.726
41,ECOL COMPLEX,25,2513,27,35,3.5,2.9,0.9,0.85,5.6,1.077,0.584
42,ECOL EVOL,1143,24505,67,90,2.6,3,0.4,0.69,4.6,0.993,0.918
43,ECOL INDIC,1312,52233,104,132,6.9,6.6,1.7,1.49,10.3,1.665,1.396
44,ECOL LETT,177,39640,88,122,8.8,9.8,1.7,2.08,16.3,3.283,4.426
45,ECOL MANAGE RESTOR,23,993,19,28,1.5,1.8,1.5,0.61,3.2,0.552,0.469
46,ECOL MODEL,277,21705,46,63,3.1,3.1,0.5,0.83,5.9,1.062,0.888
47,ECOL MONOGR,50,12404,50,84,6.1,8.7,1,2.02,14.9,2.615,3.273
48,ECOL RES,80,4417,27,42,2,2.1,0.5,0.52,4.1,0.829,0.657
49,ECOL SOC,137,14451,60,93,4.1,5.4,0.8,0.93,6.4,1.243,1.288
50,ECOLOGY,250,63530,66,83,4.8,5.3,0.9,1.3,8.7,1.596,1.958
51,ECOSPHERE,404,12408,53,75,2.7,3.4,0.6,0.81,5,0.986,1.067
52,ECOSYSTEMS,81,11304,43,58,3.7,4.2,0.8,1,8.1,1.233,1.427
53,eLIFE,1902,94866,147,202,7.7,8.3,1.4,2.07,12.3,1.743,4.251
54,EMU,30,1331,17,29,1.3,1.5,0.1,1.05,2.7,0.646,0.506
55,ENDANG SP RES,54,3244,28,49,3.1,3,0.8,0.72,5.4,1.076,0.939
56,ENERG ENVIRON SCI,345,107998,205,308,32.5,34.9,5.9,4.55,54.4,4.664,12.306
57,ENERG J,73,3716,39,58,2.9,3.2,1,0.68,5,1.309,1.223
58,ENERG POLICY,528,71939,123,172,9,8.5,2.3,1.83,15.2,2.155,2.292
59,ENERGY,3133,156083,153,197,9,8.3,2.4,1.53,14.9,2.132,1.989
60,ENVIRON CONSERV,35,4102,25,36,2.7,3.3,0.4,0.51,4.8,1.018,0.878
61,ENVIRON HEALTH PERSP,112,44887,76,104,10.4,10.7,3,2.29,15.2,2.06,2.251
62,ENVIRON RES LETT,844,41950,117,184,6.7,7.8,1.3,1.21,10.1,1.656,2.119
63,ENVIRON SCI EUR,120,3946,52,87,5.9,6.6,1.4,0.91,9.2,1.574,1.227
64,EUR J WILDL RES,72,2951,26,35,2,2.1,0.5,0.77,3.7,0.872,0.592
65,FISH FISH,70,6905,57,81,6.7,7.3,1.1,2.14,11.4,2.226,1.868
66,FISH MANAG ECOL,73,2065,22,28,2,2.1,0.8,0.69,3.9,0.596,0.941
67,FISH RES,271,11251,43,54,2.4,2.6,0.5,0.89,4.6,0.701,1.024
68,FISHERIES,32,2766,23,32,2.8,3.1,1,0.86,4,0.911,0.713
69,FOR ECOL MANAG,545,43242,68,87,3.7,3.8,0.8,1.46,7.2,1.29,1.184
70,FORESTS,2158,20642,63,77,2.9,3,0.7,1.06,4.5,1.015,0.65
71,FRESHW BIOL,142,14924,41,58,2.7,3.3,0.5,0.85,6.1,1.053,0.957
72,FRONT CONSERV SCI,NA,NA,12,15,NA,NA,NA,NA,0.9,0.629,NA
73,FRONT ECOL ENVIRON,44,13393,62,97,10.3,12.2,2.6,1.84,17.6,2.886,3.51
74,FRONT ECOL EVOL,1224,10203,61,85,3,3.8,0.6,0.74,4.3,1.098,1.095
75,FRONT MAR SCI,2754,26230,93,135,3.7,4.7,0.6,0.93,5.2,1.147,1.122
76,FUNCT ECOL,240,21258,62,79,5.2,6,0.8,1.31,9.6,1.645,2.073
77,GLOBAL CHANGE BIOL,454,67135,130,181,11.6,12.3,2.2,2.42,19.5,3.007,4.069
78,GLOBAL ECOL BIOGEOGR,160,17660,66,86,6.4,7.4,1.7,1.59,10.8,1.835,2.447
79,GLOBAL PLANET CHANGE,191,14423,52,72,3.9,5,0.9,1.15,8.2,1.301,1.459
80,HUM REPROD,232,38217,75,104,6.1,7.1,1.4,2.23,10.5,1.929,1.711
81,HYDROBIOLOGIA,333,26020,45,66,2.6,2.6,0.5,0.81,5.1,0.973,0.721
82,IBIS,110,5054,27,35,2.1,2.1,0.2,1.56,4.5,0.971,0.821
83,ICES J MAR SCI,244,13924,49,70,3.3,3.5,1,1.18,6.3,1.057,0.94
84,INSECT CONSERV DIV,57,1923,30,45,3.5,3.2,0.6,1.28,6.7,1.127,1.106
85,PERSPECT SEX REPROD HEALTH,23,1486,21,33,5.8,NA,0.3,1.25,4.9,1.559,1.698
86,INTL J SEX HEALTH,36,823,19,31,2,2.1,0.4,0.78,2.8,0.867,0.63
87,iSCIENCE,1965,21604,78,101,5.8,5.8,1.2,1.04,6.9,1.12,1.624
88,J ANIM ECOL,189,19200,61,80,4.8,5,0.6,1.86,8.3,1.571,1.913
89,J APPL ECOL,217,25995,72,99,5.7,6.5,0.9,1.36,9.7,1.703,1.964
90,J BIOGEOGR,202,17967,48,69,3.9,4.1,0.6,1.08,7.5,1.285,1.371
91,J ECOL,216,24903,78,86,5.5,6.3,1.1,1.46,10.5,1.682,2.07
92,J EXP BIOL,361,36707,59,85,2.8,3.2,1,0.77,5.5,0.957,1.018
93,J EXP MAR BIOL ECOL,78,14885,28,34,2,2.4,0.4,0.68,4.5,0.823,0.672
94,J GLOB HEALTH,190,5054,60,101,7.2,6.6,0.9,1.06,6,1.283,1.286
95,J INSECT CONSERV,85,2838,27,46,1.9,2.2,0.6,0.78,4.1,0.852,0.722
96,J MAMMAL,110,9878,32,43,1.7,2.3,0.4,1.08,4.2,0.966,0.709
97,J NAT CONSERV,163,2652,31,44,2,2.7,0.5,0.57,3.4,0.838,0.598
98,J PALEONTOL,93,5334,20,22,1.4,1.4,0.6,0.75,2.6,0.684,0.584
99,J PLANT ECOL,99,2964,23,30,2.7,2.6,1.5,0.65,3.2,0.759,0.665
100,J QUAT SCI,76,4284,24,30,2.3,2.5,0.4,0.65,4.8,0.945,0.987
101,J RENEW SUST ENER,137,4759,37,50,2.5,2.4,0.5,0.37,5.3,0.856,0.668
102,J SYST PALAEONTOL,38,1599,24,32,2.6,2.2,0.7,0.96,5.8,0.988,0.831
103,J VEG SCI,60,9139,31,37,2.8,2.9,0.3,0.89,5.5,0.901,1.008
104,J WILDL MANAG,154,11668,24,43,2.3,2.5,0.5,0.91,4.3,1.134,0.874
105,LANCET,223,365043,368,688,168.9,118.1,33.7,21.23,133.2,25.787,14.607
106,LANCET GLOBAL HLTH,147,22632,124,239,34.3,31.5,6,7.06,43.6,9.411,7.37
107,LANCET PLANET HLTH,87,6220,79,157,25.7,26.2,5,4.19,21.3,5.325,3.586
108,LANDSCAPE ECOL,201,13530,53,65,5.2,5.3,0.7,1.18,8.2,1.46,1.471
109,LIMNOL OCEANOGR,222,31305,56,66,4.5,4.7,0.9,1.39,8.3,1.397,1.466
110,MAR BIOL,155,17556,32,39,2.4,2.5,0.7,0.84,4.4,0.816,0.74
111,MAR ECOL PROG SER,278,38161,43,56,2.5,2.6,0.6,0.83,4.8,0.844,0.859
112,MAR FRESHW RES,100,6009,29,44,1.8,1.9,0.3,0.69,4.5,0.71,0.606
113,MAR POLLUT BULL,1071,61211,117,157,5.7,6,1.2,1.33,10.1,1.305,1.49
114,METHODS ECOL EVOL,238,23860,87,140,6.6,9.2,1.1,1.76,12.6,2.58,2.805
115,MOLEC ECOL,434,40824,72,105,4.9,5.6,0.9,1.25,9.4,1.473,1.937
116,MOLEC ECOL RESOUR,154,14787,66,104,7.7,8,1,1.62,12.9,2.656,2.594
117,NAT CLIM CHANGE,133,45022,153,244,30.7,31.4,5.5,5.16,32.5,5.29,6.849
118,NAT COMMUN,6953,675323,349,456,16.6,17,3.2,3.23,24.9,3.268,5.116
119,NAT ECOL EVOL,157,16845,119,167,16.8,16.9,3.2,3.92,24.9,3.989,5.374
120,NAT ENERG,108,41749,177,378,56.7,63.9,9.2,8.55,81.6,8.263,19.588
121,NAT GEN,176,111677,188,305,30.8,37.4,6.9,9.38,53.8,6.89,16.732
122,NAT GEOSCI,147,37140,108,175,18.3,19.6,3.7,4.81,32.5,4.78,6.11
123,NAT HUM BEHAV,140,14216,114,196,29.9,23.8,3.8,6.36,26.5,6.703,5.639
124,NAT SUSTAIN,107,14346,128,208,27.6,29.2,4.3,4.16,40.2,5.788,6.568
125,NATURE,1114,964876,467,707,64.8,60.9,13.7,11.32,83.4,11.591,20.957
126,NEOBIOTA,68,1506,33,44,5.1,4.7,0.8,1.34,7.7,1.465,1.213
127,NEW PHYTOL,625,85431,123,173,8.4,10.9,1.9,2.14,17.6,2.49,3.047
128,OECOLOGIA,209,33109,44,56,2.7,3,0.7,0.77,5.1,0.984,1.007
129,OIKOS,166,22788,44,67,3.4,3.6,0.7,0.97,6.3,1.23,1.471
130,ONE EARTH,81,3916,60,91,16.2,16.7,3.2,1.77,13.6,2.424,2.617
131,ORNITHOLOGY,46,251,23,37,2.3,2.3,0.8,2.04,3.8,0.722,0.625
132,ORYX,111,4444,33,42,2.7,2.8,1.1,0.78,5.1,1.057,0.765
133,P NATL ACAD SCI USA,2687,788686,268,394,11.1,12,2.8,2.51,19.2,2.765,4.026
134,P ROY SOC B-BIOL SCI,520,60568,83,108,4.7,5.2,1,1.22,8.4,1.496,1.898
135,PALAEOGEOGR PALAEOCLIM PALAEOECOL,358,28274,44,53,3,3,0.8,1.08,6.1,1.037,1.097
136,PALAEONTOLOGY,34,4509,27,34,2.6,2.8,0.9,1.32,6,0.998,1.058
137,PALEOBIOLOGY,35,3898,22,26,2.7,2.6,0.9,0.97,5.2,0.808,1.063
138,PEERJ,1864,41980,87,133,2.7,3.1,0.5,0.73,5.1,0.894,0.695
139,PEOPLE NAT,107,1722,39,65,6.1,6.5,0.8,1.57,9.6,1.955,1.909
140,PHIL TRANS R SOC B,340,57331,94,127,6.3,7.2,3.4,1.47,12,1.629,2.084
141,PLANT ECOL,73,6319,22,34,1.7,2,0.6,0.52,3.2,0.755,0.603
142,PLANT ECOL DIVER,33,1098,20,31,1.5,2.2,0.7,0.51,4.1,0.849,0.602
143,PLOS BIOL,315,41783,109,162,9.8,9.2,1.9,1.97,15.4,2.285,4.005
144,PLOS COMP BIOL,737,41489,92,125,4.3,5.4,0.8,1.1,7.1,1.278,1.872
145,PLOS GEN,428,50379,83,123,4.5,5.5,0.9,1.31,9,1.236,2.363
146,PLOS ONE,16285,886924,212,294,3.7,3.8,0.6,0.91,6,1.253,0.885
147,POP ECOL,29,1484,17,30,1.7,2.1,0.6,0.45,4.3,0.729,0.61
148,PSYCHOL BULL,30,62263,86,168,22.4,30.3,1.2,5.02,31.4,8.937,7.635
149,QUAT INT,253,18975,46,56,2.2,2.3,1.7,0.73,5.6,0.995,0.856
150,QUAT RES,95,7302,29,35,2.3,2.4,0.9,0.71,4.8,0.795,0.86
151,QUAT SCI REV,383,28037,56,68,4,4.1,0.9,1.04,7.8,1.37,1.701
152,R SOC OPEN SCI,544,16105,71,106,3.5,3.5,0.8,0.86,6,1.173,0.841
153,RENEW ENERG,1938,105268,146,197,8.4,3,1.4,1.38,16.1,2.146,1.815
154,RENEW SUST ENERG REV,987,168341,226,303,15.9,16.9,4.3,1.72,26.3,3.631,3.232
155,REPROD HEALTH,229,6949,60,82,3.4,4.2,0.7,0.84,5.2,1.657,1.093
156,RESTOR ECOL,217,7917,48,60,3.2,3.6,0.6,0.83,6.6,1.222,1.238
157,RETHINKING ECOL,NA,NA,NA,NA,NA,NA,NA,NA,4.5,0.974,0.352
158,RIVER RES APPL,177,5229,32,48,2.2,2.3,0.3,0.48,4.9,0.954,0.704
159,SCI ADV,2165,126246,212,306,13.6,15.4,2.5,2.83,20.4,2.861,4.598
160,SCI DATA,761,22811,110,166,9.8,10.8,0.9,1.85,11.2,2.887,2.41
161,SCI REP,21127,738368,210,272,4.6,4.9,0.9,1.06,7.5,1.312,0.973
162,SCI TOTAL ENVIRON,7764,372214,273,375,9.8,9.6,2.2,1.67,16.8,2.026,1.946
163,SCIENCE,713,818308,424,665,56.9,54.5,15.5,9.57,59,7.729,13.328
164,STUD FAM PLANN,29,1915,22,34,2.1,3.6,0.3,0.88,4.2,1.279,0.829
165,THEOR ECOL,22,912,16,22,1.6,1.5,0.3,0.43,3.4,0.676,0.642
166,TRENDS ECOL EVOL,84,39957,92,137,16.8,18.1,5.1,1.89,26.9,4.159,5.127
167,TROP CONSERV SCI,28,1488,23,32,1.7,2.3,0.3,0.41,3.8,0.729,0.499
168,WILDL RES,95,3507,25,34,1.9,2,0.5,0.77,3.8,0.85,0.725
